"Code";"Title";"SubTitle";"Year";"LowestFqWord";"PrevalentVerb";"PrevalentAdjective";"PrevalentNoun";"Songs";"Lines";"Words";"Genre"
"TSW";"Taylor Swift";;2006;"stoppin'";"love";"beautiful";"song";14;563;4005;"country"
"FER";"Fearless";"Taylor's Version";2008;"fakin'";"feel";"little";"baby";25;1102;8355;"country,pop"
"SPN";"Speak Now";"Taylor's Version";2010;"pretending";"love";"little";"life";22;1132;8790;"country,pop,rock"
"RED";"Red";"Taylor's Version";2012;"pretendin'";"love";"better";"night";28;1431;10513;"pop,country,rock"
"NEN";1989;"Taylor's Version";2014;"pacin'";"love";"clear";"baby";22;1218;9379;"pop"
"REP";"Reputation";;2017;"stabbed";"call";"bad";"baby";15;941;7229;"pop,rb"
"LVR";"Lover";;2019;"wonderin'";"love";"bad";"daylight";18;922;6703;"pop,srock"
"FOL";"Folklore";;2020;"pacing";"love";"mad";"woman";17;720;5110;"ifolk,arock"
"EVE";"Evermore";;2020;"backlogged";"love";"left";"thing";17;910;5985;"ifolk,arock"
"MID";"Midnights";"The Til Dawn Edition";2022;"wondering";"love";"different";"karma";21;1071;7002;"pop"
"TPD";"The Tortured Poets Department";"The Anthology";2024;"engulfed";"tell";"bad";"life";31;1547;10631;"ifolk,pop"
"LSG";"The Life Of A Showgirl";;2025;"bitchin'";"love";"called";"life";12;628;4642;"pop,srock"
"OTH";"Other Songs";;;"wondering";"run";"young";"matter";2;85;530
